call,qso_date,time_off,freq,mode,rst_sent,comment,band,unknown
DH6DAO,20210220,0722,3.5746,FT8,+14,Opr PD9HIX,80m,unknown
DH8BAC,20210222,1941,3.5746,FT8,+03,Opr PD9HIX,80m,unknown
DK4RH,20210220,0752,3.5746,FT8,+07,Opr PD9HIX,80m,unknown
DK5OPA,20210220,0720,3.5746,FT8,+01,Opr PD9HIX,80m,unknown
DK5WL,20210220,2334,1.8,FT8,-11,OPR PA3EFR,160m,unknown
DK7UY,20210220,2236,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
DK7UY,20210226,1834,5.357,FT8,-13,OPR PA3EFR,60m,unknown
DK7ZT,20210218,2049,1.8,FT8,-4,OPR PA3EFR,160m,unknown
DK7ZT,20210220,0708,3.5746,FT8,+03,Opr PD9HIX,80m,unknown
DK8ZM,20210221,1853,1253,DMR,59,OPR PA3EFR,70cm,unknown
DL2MHM,20210220,0742,3.5746,FT8,+03,Opr PD9HIX,80m,unknown
DL4CQ,20210220,0727,3.5746,FT8,-09,Opr PD9HIX,80m,unknown
DL4CQ,20210220,0745,3.5746,FT8,-05,Opr PD9HIX,80m,unknown
DL4CQ,20210220,2337,1.8,FT8,-6,OPR PA3EFR,160m,unknown
DL4DBM,20210222,2027,3.5746,FT8,+00,Opr PD9HIX,80m,unknown
DL5CD,20210222,1827,5.357,FT8,-12,OPR PA3EFR,60m,unknown
DL5DQZ,20210220,0734,3.5746,FT8,-15,Opr PD9HIX,80m,unknown
DL5JMN,20210221,2020,1.8412,FT8,-16,Opr PD9HIX,160m,unknown
DL7DJ,20210222,1942,3.5746,FT8,-01,Opr PD9HIX,80m,unknown
DL9DBF,20210221,0919,144.175,FT8,-20,pe2pvd,2m,unknown
DL9DBZ,20210222,1944,3.5746,FT8,-10,Opr PD9HIX,80m,unknown
DM1YS,20210220,2240,3.5746,FT8,-13,Opr PD9HIX,80m,unknown
DM7CW,20210222,1936,3.5746,FT8,-12,Opr PD9HIX,80m,unknown
DN7GMW,20210221,2025,1.8412,FT8,-08,Opr PD9HIX,160m,unknown
DO1BRO,20210222,1939,3.5746,FT8,-05,Opr PD9HIX,80m,unknown
DO1LPH,20210220,0743,3.5746,FT8,-05,Opr PD9HIX,80m,unknown
DO1MGN,20210220,0748,3.5746,FT8,+01,Opr PD9HIX,80m,unknown
DO2STA,20210220,0756,3.5746,FT8,-19,Opr PD9HIX,80m,unknown
DO6TW,20210220,0750,3.5746,FT8,+05,Opr PD9HIX,80m,unknown
DO9BAU,20210220,0705,3.575,FT8,+00,Opr PD9HIX,80m,unknown
DO9GP,20210222,1935,3.5746,FT8,-09,Opr PD9HIX,80m,unknown
DP9S,20210221,1907,1253,ECHOLINK,59,OPR PA3EFR,ECHOLINK,unknown
E73DN,20210228,0949,10.1,FT8,-9,OPR PA3EFR,30m,unknown
E76C,20210218,2108,5.357,FT8,+1,OPR PA3EFR,60m,unknown
E76C,20210220,2035,7.0756,FT8,+04,Opr PD9HIX,40m,unknown
E76C,20210228,1045,10.1,FT8,-1,OPR PA3EFR,30m,unknown
E77EA,20210226,1538,10.1,FT8,+2,OPR PA3EFR,30m,unknown
EA1AHP,20210220,0829,7.0756,FT8,-15,Opr PD9HIX,40m,unknown
EA1AHY,20210222,1934,7.07631,FT8,+02,pe2pvd,40m,unknown
EA1BP,20210220,0940,7.088,SSB,unknown,bas,40m,unknown
EA1OL,20210220,0807,7.0756,FT8,-02,Opr PD9HIX,40m,unknown
EA2IA,20210221,2008,7.0756,FT8,-07,Opr PD9HIX,40m,unknown
EA2IA,20210222,2015,3.5746,FT8,-08,Opr PD9HIX,80m,unknown
EA3CB,20210228,1646,14.0756,FT8,-07,Opr PD9HIX,20m,unknown
EA3CFV,20210220,0845,7.0756,FT8,-05,Opr PD9HIX,40m,unknown
EA3DNC,20210227,1501,10.1,FT8,-9,OPR PA3EFR,30m,unknown
EA3EQS,20210221,1950,3.5746,FT8,-06,Opr PD9HIX,80m,unknown
EA3HMM,20210228,1600,14.0756,FT8,+08,Opr PD9HIX,20m,unknown
EA3IE,20210220,2100,7.0756,FT8,+02,Opr PD9HIX,40m,unknown
EA4FME,20210222,1848,7.07597,FT8,+02,pe2pvd,40m,unknown
EA4TL,20210220,1104,7.09,SSB,unknown,bas,40m,unknown
EA5B,20210220,0737,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
EA5D,20210226,1535,10.1,FT8,-11,OPR PA3EFR,30m,unknown
EA5D,20210228,1604,14.0756,FT8,+10,Opr PD9HIX,20m,unknown
EA5EP,20210222,1902,7.07597,FT8,-06,pe2pvd,40m,unknown
EA5GI,20210228,0939,10.1,FT8,-7,OPR PA3EFR,30m,unknown
EA5GPC,20210228,1637,14.0756,FT8,-15,Opr PD9HIX,20m,unknown
EA5GXY,20210220,2154,5.357,FT8,-8,OPR PA3EFR,60m,unknown
EA5IYK,20210221,1845,7.163,LSB,59,OPR PA3EFR,40m,unknown
EA5KB,20210226,1517,14,FT8,-6,OPR PA3EFR,20m,unknown
EA5RR,20210220,0835,7.0756,FT8,-01,Opr PD9HIX,40m,unknown
EA5SS,20210226,1823,5.357,FT8,-17,OPR PA3EFR,60m,unknown
EA5W,20210220,2033,7.0756,FT8,-08,Opr PD9HIX,40m,unknown
EA7AH,20210220,0823,7.0756,FT8,-12,Opr PD9HIX,40m,unknown
EA7CI,20210220,2208,5.357,FT8,-1,OPR PA3EFR,60m,unknown
EA7DNE,20210221,1643,14.0756,FT8,-05,Opr PD9HIX,20m,unknown
EA7GNT,20210222,1828,5.357,FT8,-12,OPR PA3EFR,60m,unknown
EA7HY,20210221,1638,14.0756,FT8,+11,Opr PD9HIX,20m,unknown
EA7IRV,20210222,1845,5.357,FT8,-12,OPR PA3EFR,60m,unknown
EA7KC,20210221,1634,14.0756,FT8,+07,Opr PD9HIX,20m,unknown
EA7KKA,20210222,1844,7.07597,FT8,-10,pe2pvd,40m,unknown
EA7LY,20210220,2248,3.5746,FT8,-18,Opr PD9HIX,80m,unknown
EA7LY,20210221,1623,14.0756,FT8,-04,Opr PD9HIX,20m,unknown
EA7QL,20210220,2232,3.5746,FT8,-14,Opr PD9HIX,80m,unknown
EA7QL,20210221,1610,14.0756,FT8,+04,Opr PD9HIX,20m,unknown
EA7UW,20210220,2212,5.357,FT8,unknown,OPR PA3EFR,60m,unknown
EA7UW,20210222,1941,7.07631,FT8,+02,pe2pvd,40m,unknown
EA8DHH,20210226,1454,14,FT8,-16,OPR PA3EFR,20m,unknown
EA8WU,20210218,2110,5.357,FT8,-3,OPR PA3EFR,60m,unknown
EB1LA,20210220,2134,3.5746,FT8,-13,Opr PD9HIX,80m,unknown
EB3JT,20210222,1841,5.357,FT8,-4,OPR PA3EFR,60m,unknown
EC1A,20210226,1811,5.357,FT8,3,OPR PA3EFR,60m,unknown
EC3A,20210218,0825,7.07491,FT8,+02,pe2pvd,40m,unknown
EI9IB,20210222,1846,5.357,FT8,-7,OPR PA3EFR,60m,unknown
EK7DX,20210220,2131,3.5746,FT8,-10,Opr PD9HIX,80m,unknown
EM25VER,20210226,1511,14,FT8,-4,OPR PA3EFR,20m,unknown
ES4AW,20210222,1850,5.357,FT8,-6,OPR PA3EFR,60m,unknown
ES8AT,20210228,0958,10.1,FT8,-9,OPR PA3EFR,30m,unknown
EU1P,20210218,2102,5.357,FT8,-4,OPR PA3EFR,60m,unknown
EU7FBB,20210222,1814,7.07497,FT8,-08,pe2pvd,40m,unknown
